YEAR,DEPT,VALID,BLANK,VOID,REJECT,BALLOTS,PFA,PDC,PN,PC,PI,PINT,PLib,PLab2,PLab1,PT,PNE,PUC,PUCU,PVEE,PDS,PA,PSS,PAO,PMJ,PDL,PR,PMP,PGP,PMJ,PCONV,PUP,PURC,PJP,PJDO,PAT,PF,PFIL,PS,PMCC,PMRO,POR,PCOM,UDR,MRENOV,PCPYSS,POSIN,PNI,PFCAP,PO,PAP
1966,COLONIA ,58247,,,,,,1600,28818,25845,,,0,,,,,,,,0,,,,,,,,,,,5,,,,0,0,1256,287,436,,,,,,,,,,,
1966,SAN JOSÉ ,38202,,,,,,2820,19165,15098,,,0,,,,,,,,0,,,,,,,,,,,9,,,,96,0,915,80,19,,,,,,,,,,,
1966,FLORES ,14933,,,,,,719,7615,6258,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,158,54,127,,,,,,,,,,,
1966,FLORIDA ,35880,,,,,,405,18494,16216,,,0,,,,,,,,0,,,,,,,,,,,25,,,,0,0,589,86,65,,,,,,,,,,,
1966,DURAZNO ,28913,,,,,,620,15287,12422,,,0,,,,,,,,0,,,,,,,,,,,4,,,,0,0,383,97,100,,,,,,,,,,,
1966,LAVALLEJA ,36255,,,,,,571,18046,16806,,,0,,,,,,,,0,,,,,,,,,,,14,,,,0,0,601,126,91,,,,,,,,,,,
1966,TACUAREMBÓ ,40790,,,,,,1011,19926,18811,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,853,161,28,,,,,,,,,,,
1966,URUGUAY,1231762,,,,,,37219,496910,607633,,,74,,,,,,,,44,,,,,,,,,,,2655,,,,1616,72,69750,11538,4230,,,,,,,,,,,
1962,MONTEVIDEO ,484045,,,,,,18172,190637,222232,,,,,13,22,,,,,49,,,,,,,367,,,,19677,,,,,63,32658,,,2,153,,,,,,,,,
1962,CANELONES ,107430,,,,,,2248,51309,51210,,,,,0,0,,,,,118,,,,,,,9,,,,981,,,,,0,1554,,,0,1,,,,,,,,,
1962,MALDONADO ,31994,,,,,,722,14770,15788,,,,,0,0,,,,,0,,,,,,,4,,,,327,,,,,0,383,,,0,0,,,,,,,,,
1962,ROCHA ,32408,,,,,,373,17326,14114,,,,,0,0,,,,,0,,,,,,,3,,,,301,,,,,0,291,,,0,0,,,,,,,,,
1962,TREINTA Y TRES ,24012,,,,,,296,14342,8886,,,,,0,0,,,,,0,,,,,,,0,,,,307,,,,,0,180,,,0,1,,,,,,,,,
1962,CERRO LARGO ,33263,,,,,,487,20970,11216,,,,,0,0,,,,,0,,,,,,,26,,,,363,,,,,0,201,,,0,0,,,,,,,,,
1962,RIVERA ,38513,,,,,,737,19562,17294,,,,,0,0,,,,,0,,,,,,,7,,,,498,,,,,0,415,,,0,0,,,,,,,,,
1962,ARTIGAS ,23463,,,,,,1008,8489,13588,,,,,0,0,,,,,0,,,,,,,30,,,,255,,,,,0,93,,,0,0,,,,,,,,,
1962,SALTO ,41997,,,,,,1340,19540,19760,,,,,0,0,,,,,0,,,,,,,54,,,,687,,,,,0,615,,,0,1,,,,,,,,,
1962,PAYSANDÚ ,41608,,,,,,1739,18213,20247,,,,,0,0,,,,,0,,,,,,,52,,,,713,,,,,0,600,,,0,44,,,,,,,,,
1962,RÍO NEGRO ,20421,,,,,,367,9777,9307,,,,,0,0,,,,,0,,,,,,,31,,,,452,,,,,0,486,,,0,1,,,,,,,,,
1962,SORIANO  ,41667,,,,,,1095,21267,18185,,,,,0,0,,,,,0,,,,,,,30,,,,501,,,,,0,589,,,0,0,,,,,,,,,
1962,COLONIA ,57310,,,,,,1507,32092,22348,,,,,0,0,,,,,0,,,,,,,7,,,,514,,,,,0,837,,,0,5,,,,,,,,,
1962,SAN JOSÉ ,37208,,,,,,1968,21018,13469,,,,,0,0,,,,,0,,,,,,,3,,,,227,,,,,0,522,,,0,1,,,,,,,,,
1962,FLORES ,14818,,,,,,710,8664,5261,,,,,0,0,,,,,0,,,,,,,2,,,,83,,,,,0,95,,,0,3,,,,,,,,,
1962,FLORIDA ,36011,,,,,,601,19681,15176,,,,,0,0,,,,,0,,,,,,,1,,,,239,,,,,0,312,,,0,1,,,,,,,,,
1962,DURAZNO ,29205,,,,,,661,16945,11167,,,,,0,0,,,,,0,,,,,,,4,,,,214,,,,,0,213,,,0,1,,,,,,,,,
1962,LAVALLEJA ,36855,,,,,,639,20390,15156,,,,,0,0,,,,,0,,,,,,,0,,,,296,,,,,0,374,,,0,0,,,,,,,,,
1962,TACUAREMBÓ ,38792,,,,,,1033,20037,16827,,,,,0,0,,,,,0,,,,,,,20,,,,406,,,,,0,468,,,0,1,,,,,,,,,
1962,URUGUAY,1171020,,,,,,35703,545029,521231,,,,,13,22,,,,,167,,,,,,,650,,,,27041,,,,,63,40886,,,2,213,,,,,,,,,
1958,MONTEVIDEO ,408509,,,,,,,176726,148206,,,,,52,,,,20041,,,,,,,,,,,,,,,,,,,,27904,,,134,22196,7045,6063,142,0,,,,
1958,CANELONES ,86444,,,,,,,41962,39875,,,,,0,,,,2288,,,,,,,,,,,,,,,,,,,,752,,,2,948,458,159,0,0,,,,
1958,MALDONADO ,26498,,,,,,,12686,11828,,,,,0,,,,651,,,,,,,,,,,,,,,,,,,,299,,,0,136,898,0,0,0,,,,
